MSSubClass,MSZoning,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,SalePrice
20,RL,78,10335,1Story,5,6,180000
20,RL,80,10400,1Story,7,6,174000
20,RL,NA,10355,1Story,5,5,143000
90,RL,82,11070,1Story,7,5,171000
60,RL,73,9066,2Story,8,5,230000
60,RL,65,15426,2Story,6,5,231500
20,RL,70,10500,1Story,4,5,115000
20,RL,78,11645,1Story,7,5,260000
50,RL,71,8520,1.5Fin,5,4,166000
20,RL,78,10335,1Story,7,5,204000
90,RM,70,9100,1Story,5,5,125000
160,RM,24,2522,2Story,6,5,130000
30,RM,51,6120,1Story,5,7,105000
60,RL,NA,9505,2Story,7,5,222500
20,RL,63,7500,1Story,7,5,141000
50,RM,NA,6240,1.5Fin,5,4,115000
20,RL,120,10356,1Story,5,6,122000
20,RL,107,13891,1Story,8,5,372402
60,RL,NA,14803,2Story,6,5,190000
20,RL,NA,13500,1Story,6,7,235000
30,RM,84,11340,1Story,6,5,125000
50,RL,60,9600,1.5Fin,6,5,79000
20,RL,60,7200,1Story,5,7,109500
60,RL,92,12003,2Story,8,5,269500
60,FV,100,12552,2Story,7,5,254900
60,RL,134,19378,2Story,7,5,320000
20,RL,NA,11120,1Story,6,6,162500
60,RL,110,13688,2Story,9,5,412500
20,RL,95,12182,1Story,7,5,220000
45,RL,55,5500,1.5Unf,4,6,103200
40,RM,40,5400,1Story,6,7,152000
190,RL,62,10106,1.5Fin,5,7,127500
20,RL,NA,10708,1Story,5,5,190000
60,RL,86,10562,2Story,8,5,325624
60,RL,62,8244,2Story,7,5,183500
20,RL,NA,16669,1Story,8,6,228000
50,RM,NA,12358,1.5Fin,5,6,128500
20,RL,141,31770,1Story,6,5,215000
160,RL,44,5306,2Story,7,7,239000
20,RL,80,10197,1Story,6,5,163000
20,RL,47,12416,1Story,6,5,184000
20,RL,84,12615,1Story,6,7,243000
60,RL,97,10029,2Story,6,5,211000
50,RL,NA,13650,1.5Fin,5,5,172500
20,RL,63,17423,1Story,9,5,501837
30,RM,60,8520,1Story,5,6,100000
160,FV,NA,2117,2Story,6,5,177000
70,RL,54,7588,2Story,7,6,200100
20,RL,60,9060,1Story,5,6,120000
50,RM,63,11426,1.5Fin,7,5,200000
50,RL,92,7438,1.5Fin,5,8,127000
75,RM,90,22950,2.5Fin,10,9,475000
80,RL,NA,9947,SLvl,7,5,173000
50,RL,60,10410,1.5Fin,5,7,135000
90,RL,64,7018,SFoyer,5,5,153337
120,RL,41,4923,1Story,8,5,286000
70,RL,70,10570,2Story,8,8,315000
60,RL,NA,7472,2Story,7,9,184000
20,RL,68,9017,1Story,7,5,192000
160,RM,24,2522,2Story,7,5,130000
20,RL,60,7180,1Story,5,7,127000
160,RL,24,2280,2Story,6,6,148500
20,RL,79,9416,1Story,7,5,311872
75,RL,174,25419,2Story,8,4,235000
75,RM,92,5520,2.5Fin,6,6,104000
20,RL,76,9591,1Story,8,5,274900
20,RM,80,8546,1Story,4,5,140000
20,RL,75,10125,1Story,6,6,171500
50,RL,50,7000,1.5Fin,6,6,112000
120,RM,NA,4438,1Story,6,5,149000
50,RM,50,3500,1.5Fin,5,7,110000
20,RL,99,11851,1Story,7,5,180500
20,RL,40,13673,1Story,5,5,143900
20,RL,NA,12493,1Story,4,5,141000
60,RL,NA,14364,2Story,7,5,277000
20,RL,75,8250,1Story,6,7,145000
30,RL,67,5604,1Story,5,6,98000
20,RL,83,10420,1Story,6,5,186000
60,FV,72,8640,2Story,7,5,252678
20,RL,43,13568,1Story,5,5,156000
60,RL,NA,10900,2Story,6,7,161750
20,RL,72,10011,1Story,5,6,134450
20,RL,65,8450,1Story,7,5,210000
70,RM,57,9906,2Story,4,4,107000
50,RL,NA,15660,1.5Fin,7,9,311500
120,RL,43,3010,1Story,7,5,167240
20,RL,73,8990,1Story,7,5,204900
60,RL,NA,8068,2Story,6,5,200000
60,RL,85,11475,2Story,6,6,179900
20,RL,70,10500,1Story,4,6,97000
20,RL,103,13472,1Story,10,5,386250
160,RM,21,1680,2Story,5,5,112000
60,RL,82,9950,2Story,7,5,290000
160,RM,21,1869,2Story,6,6,106000
20,RL,70,8521,1Story,5,5,125000
120,RL,43,3182,1Story,7,5,192500
20,RL,73,8760,1Story,6,6,148000
60,RL,174,15138,2Story,8,5,403000
160,RM,21,1680,2Story,6,5,94500
20,RL,75,10650,1Story,5,6,128200
60,RL,NA,7851,2Story,6,5,216500
160,RM,21,1680,2Story,6,3,89500
20,RL,65,8773,1Story,7,5,185500
60,RL,NA,9453,2Story,7,7,194500
20,RL,93,12030,1Story,8,5,318000
50,RL,52,8741,1.5Fin,6,4,113000
20,FV,75,9000,1Story,8,5,262500
30,RM,40,3880,1Story,5,9,110500
50,RM,63,5000,1.5Fin,5,4,79000
160,RL,75,10762,2Story,6,6,120000
60,RL,NA,8880,2Story,7,5,205000
20,RL,80,10400,1Story,7,5,241500
190,RM,69,9142,2Story,6,8,137000
20,RL,75,11310,1Story,6,5,140000
60,RL,72,11317,2Story,7,5,180000
50,RL,NA,159000,1.5Fin,6,7,277000
30,RL,55,5350,1Story,3,2,76500
120,RM,44,4750,1Story,8,5,235000
60,RL,65,8366,2Story,6,5,173000
80,RL,85,9350,SLvl,6,7,158000
20,RL,70,8400,1Story,5,6,145000
60,RL,66,8738,2Story,7,5,230000
60,FV,64,8791,2Story,6,5,207500
20,RL,68,8814,1Story,7,5,220000
60,RL,80,12435,2Story,7,5,231500
20,RM,70,12702,1Story,5,5,97000
80,RL,120,19296,SLvl,6,5,176000
60,RL,69,9588,2Story,8,5,276000
80,RL,88,8471,SLvl,6,7,151000
50,RM,50,5500,1.5Fin,5,7,130000
30,RM,30,5232,1Story,5,5,73000
20,RL,78,12090,1Story,6,6,175500
60,RL,70,11207,2Story,6,5,185000
75,RL,60,8400,2.5Fin,5,8,179500
30,RM,71,6900,1Story,5,6,120500
20,RL,NA,7917,1Story,6,7,148000
60,FV,84,10728,2Story,8,5,266000
20,RL,73,39104,1Story,7,7,241500
60,RL,92,11764,2Story,8,7,290000
20,RL,80,9600,1Story,6,6,139000
20,RL,76,8314,1Story,5,7,124500
50,RL,55,7264,1.5Fin,7,7,205000
20,RL,129,9196,1Story,7,5,201000
20,RL,140,19138,1Story,4,5,141000
20,RL,107,14450,1Story,9,5,415298
60,RL,83,10005,2Story,7,5,192000
60,RL,82,11287,2Story,7,6,228500
20,FV,60,7200,1Story,6,5,185000
120,RL,34,5063,1Story,7,5,207500
20,RL,74,9612,1Story,8,5,244600
120,RL,50,8012,1Story,6,5,179200
160,FV,35,4251,2Story,7,5,164700
50,RL,77,9786,1.5Fin,6,7,159000
20,RL,NA,8125,1Story,4,4,88000
20,RL,NA,9819,1Story,5,5,122000
70,RL,60,8730,2Story,6,7,153575
60,RL,120,15611,2Story,8,5,233230
190,RL,55,5687,2Story,5,6,135900
50,RL,60,11409,1.5Fin,5,4,131000
60,RL,NA,16659,2Story,7,7,235000
20,RL,80,9600,1Story,6,5,167000
80,RL,37,7937,SLvl,6,6,142500
50,RM,75,13710,1.5Fin,5,5,152000
60,FV,66,7399,2Story,7,5,239000
60,RL,90,11700,2Story,6,6,175000
20,RL,80,14000,1Story,6,8,158500
190,RL,90,15750,1Story,5,5,157000
60,RL,66,16226,2Story,8,5,267000
20,RL,118,13704,1Story,7,5,205000
20,RL,70,9800,1Story,5,7,149900
75,RM,87,18386,2.5Fin,7,9,295000
20,RL,80,10386,1Story,8,5,305900
60,RL,116,13474,2Story,7,5,225000
50,RM,NA,7920,1.5Fin,6,7,89500
30,RL,NA,12342,1Story,4,5,82500
20,RL,90,12378,1Story,9,5,360000
60,RL,NA,7685,2Story,6,5,165600
20,RL,50,8000,1Story,6,6,132000
190,RM,65,7800,1.5Fin,5,7,119900
20,RL,150,215245,1Story,7,5,375000
70,RM,60,9600,2Story,7,7,178000
60,RL,71,7795,2Story,7,5,188500
60,RL,94,13005,2Story,7,7,260000
60,FV,75,9000,2Story,8,5,270000
60,RL,90,9900,2Story,7,5,260000
80,RL,NA,14115,SLvl,7,5,187500
60,RL,111,16259,2Story,9,5,342643
60,RL,99,12099,2Story,8,5,354000
60,RL,86,10380,2Story,7,5,301000
20,RM,49,5820,1Story,3,8,126175
80,RL,96,11275,SLvl,7,7,242000
45,RM,50,5000,1.5Unf,5,6,87000
120,RL,32,10846,1Story,8,5,324000
20,RL,80,11600,1Story,6,5,145250
75,RL,NA,11888,2.5Unf,6,6,214500
70,RM,60,6402,2Story,5,5,78000
90,RL,NA,10624,1Story,5,4,119000
20,RL,70,8176,1Story,5,6,139000
20,RL,85,10655,1Story,8,5,284000
120,RM,59,8198,1Story,7,5,207000
60,RL,59,9042,2Story,6,5,192000
190,RL,NA,164660,1.5Fin,5,6,228950
20,RL,86,14157,1Story,9,5,377426
20,RL,70,9135,1Story,7,5,214000
20,RL,91,14145,1Story,7,7,202500
20,RL,66,12400,1Story,6,7,155000
60,RL,85,14191,2Story,8,5,202900
20,RH,60,8400,1Story,4,4,82000
90,RL,NA,8544,1Story,3,4,87500
120,RL,63,8849,1Story,9,5,266000
160,RM,36,2592,2Story,5,3,85000
50,RL,65,6435,1.5Fin,6,5,140200
20,RL,NA,12772,1Story,6,8,151500
20,RL,NA,17600,1Story,6,5,157500
160,RL,36,2448,2Story,7,5,154000
60,RL,56,20431,2Story,9,5,437154
120,RL,68,7820,1Story,9,5,318061
120,RL,NA,5271,1Story,7,5,190000
50,RL,60,9084,1.5Fin,5,6,95000
30,RM,60,8520,1Story,6,8,105900
50,RL,60,8400,1.5Fin,6,5,140000
20,RL,105,11249,1Story,6,5,177500
20,RL,NA,9248,1Story,6,6,173000
120,RM,44,4224,1Story,5,5,134000
80,RL,92,6930,SLvl,5,4,130000
60,RL,78,12011,2Story,8,5,280000
85,RL,NA,7540,SFoyer,6,6,156000
50,RL,NA,9144,1.5Fin,5,5,145000
85,RL,64,7301,SFoyer,7,5,198500
160,RM,21,1680,2Story,6,8,118000
60,RL,NA,18800,2Story,6,5,190000
70,RM,59,10690,2Story,5,7,147000
20,RL,NA,9500,1Story,6,5,159000
80,RL,101,9150,SLvl,6,5,165000
20,RL,78,7800,1Story,5,6,132000
20,RL,NA,9830,1Story,5,7,162000
60,RL,NA,8121,2Story,6,5,172400
50,RL,80,17120,1.5Fin,4,4,134432
120,RL,50,7175,1Story,6,5,125000
20,RL,79,10634,1Story,5,6,123000
60,RL,65,8200,2Story,7,5,219500
30,RL,NA,10020,1Story,1,1,61000
85,RL,57,8846,SFoyer,5,5,148000
60,FV,102,11143,2Story,8,5,340000
20,RL,88,11394,1Story,9,2,394432
60,RL,60,8123,2Story,6,5,179000
50,RL,50,5000,1.5Fin,5,6,127000
20,FV,60,7200,1Story,7,5,187750
60,RL,79,9245,2Story,7,5,213500
45,RH,60,9000,1.5Unf,6,3,76000
60,RL,NA,53107,2Story,6,5,240000
120,RL,43,3182,1Story,8,5,192000
50,RL,58,8410,1.5Fin,5,3,81000
80,RL,72,7200,SLvl,6,6,125000
20,RL,93,9382,1Story,7,5,191000
60,RL,96,12474,2Story,10,5,426000
50,RL,50,8405,1.5Fin,5,8,119000
60,RL,71,12209,2Story,6,5,215000
20,RL,NA,8339,1Story,5,7,106500
30,RL,NA,7446,1Story,4,5,100000
50,RL,60,10134,1.5Fin,5,6,109000
20,RL,68,9571,1Story,5,6,129000
20,RL,60,7200,1Story,5,5,123000
60,RL,69,7590,2Story,5,5,169500
30,RM,60,8967,1Story,5,2,67000
60,FV,65,8125,2Story,7,5,241000
120,RL,38,14963,1Story,8,5,245500
20,RL,65,8767,1Story,7,5,164990
30,RL,60,10200,1Story,5,8,108000
60,RL,93,12090,2Story,8,5,258000
60,RL,NA,10364,2Story,6,5,168000
20,RL,NA,9991,1Story,4,4,150000
50,RL,51,10480,1.5Fin,6,5,115000
70,RL,63,15576,2Story,6,7,177000
60,RL,109,14154,2Story,7,5,280000
60,FV,85,10800,2Story,8,5,339750
20,RL,68,9571,1Story,5,3,60000
190,RL,100,34650,1Story,5,5,145000
20,FV,NA,4403,1Story,7,5,222000
30,RM,56,8960,1Story,5,6,115000
60,RL,59,11228,2Story,7,5,228000
20,RL,73,8899,1Story,7,5,181134
60,RL,74,7844,2Story,6,7,149500
70,RL,86,22420,2Story,6,6,239000
50,RL,60,8160,1.5Fin,5,6,126000
20,RL,65,8450,1Story,5,6,142000
90,RM,78,7060,SFoyer,7,5,206300
20,RL,NA,16635,1Story,6,7,215000
20,RL,100,21750,1Story,5,5,113000
60,RL,80,9200,2Story,8,5,315000
20,RL,72,9000,1Story,6,5,139000
60,RM,60,3378,2Story,7,8,135000
80,RL,NA,12800,SLvl,7,5,275000
20,RL,77,8593,1Story,4,6,109008
20,RL,64,6762,1Story,7,5,195400
20,RL,130,11457,1Story,6,5,175000
160,RM,21,1680,2Story,6,5,85400
50,RM,60,5586,1.5Fin,6,7,79900
160,RM,24,1920,2Story,5,5,122500
60,RL,100,10839,2Story,6,5,181000
180,RM,21,1890,SFoyer,4,7,81000
60,RL,43,10667,2Story,7,6,212000
50,RM,40,4400,1.5Fin,6,8,116000
45,RM,50,6000,1.5Unf,6,7,119000
30,RL,40,4280,1Story,5,6,90350
50,RL,67,12354,1.5Fin,6,8,110000
20,RL,105,15431,1Story,10,5,555000
90,RL,92,12108,1Story,4,4,118000
50,RM,52,6240,1.5Fin,5,7,162900
120,RL,53,3922,1Story,7,5,172500
60,RL,70,8750,2Story,7,5,210000
20,RL,73,9855,1Story,6,5,127500
20,RL,137,16492,1Story,6,6,190000
60,RL,NA,11214,2Story,7,5,199900
50,RM,50,8600,1.5Fin,6,6,119500
50,RM,50,6000,1.5Fin,3,7,120000
30,RM,70,5684,1Story,6,8,110000
20,RL,62,70761,1Story,7,5,280000
60,RL,NA,9303,2Story,6,5,204000
60,FV,75,9000,2Story,8,5,210000
90,RL,63,9297,1Story,5,5,188000
20,RL,80,9600,1Story,7,6,175500
70,RM,34,4571,2Story,5,5,98000
20,RL,NA,53227,1Story,4,6,256000
70,RM,NA,5100,2Story,8,7,161000
50,RL,NA,7015,1.5Fin,5,4,110000
60,FV,75,8004,2Story,8,5,263435
70,RL,60,7200,2Story,7,9,155000
20,RL,60,8281,1Story,5,5,62383
70,RL,74,11988,2Story,6,7,188700
20,RL,60,8430,1Story,5,5,124000
120,RM,NA,3072,1Story,7,5,178740
20,RL,85,10628,1Story,7,5,167000
70,RL,79,9480,2Story,5,7,146500
20,RL,98,11428,1Story,8,5,250000
60,RL,76,9291,2Story,6,5,187000
120,RL,NA,6820,1Story,8,5,212000
60,RL,92,11952,2Story,7,6,190000
180,RM,35,3675,SLvl,6,5,148000
20,RL,110,14977,1Story,8,5,440000
120,RL,41,5330,1Story,8,5,251000
20,RL,80,8480,1Story,5,6,132500
20,RL,75,13125,1Story,6,5,208900
60,RL,105,13693,2Story,9,5,380000
20,RL,79,10637,1Story,8,5,297000
30,RM,50,5925,1Story,4,7,89471
20,RL,98,16033,1Story,9,5,326000
20,RL,72,11846,1Story,9,5,374000
70,RM,50,2500,2Story,7,8,155000
120,RM,32,4500,1Story,6,5,164000
20,RL,NA,7758,1Story,5,7,132500
20,RL,80,9600,1Story,5,7,147000
20,RL,79,10289,1Story,5,7,156000
20,RL,70,12243,1Story,5,6,175000
190,RL,60,10800,1.5Fin,5,4,160000
180,RM,21,1526,SFoyer,4,8,86000
160,RM,NA,2665,2Story,5,6,115000
50,RL,79,9490,1.5Fin,6,7,133000
60,RL,105,15578,2Story,6,5,172785
20,RL,70,7931,1Story,5,6,155000
30,RM,50,5784,1Story,5,8,91300
30,C (all),60,7879,1Story,4,5,34900
20,RL,NA,12692,1Story,8,5,430000
50,RL,60,9120,1.5Fin,7,6,184000
20,RL,65,7800,1Story,5,7,130000
20,RL,70,7535,1Story,5,7,120000
160,RM,21,1890,2Story,6,5,113000
60,FV,75,9803,2Story,7,5,226700
20,RL,70,9170,1Story,5,7,140000
20,RL,100,15602,1Story,7,8,289000
160,RL,24,2308,2Story,6,5,147000
90,RM,60,7596,2Story,5,5,124500
60,RL,80,9554,2Story,8,5,215000
20,FV,75,7862,1Story,6,5,208300
70,RM,60,9600,2Story,7,9,161000
20,RL,80,9600,1Story,5,6,124500
20,RL,75,14559,1Story,5,7,164900
120,RL,40,6792,1Story,7,5,202665
20,RL,70,9100,1Story,5,5,129900
20,RL,71,9187,1Story,6,5,134000
45,RL,55,10594,1.5Unf,5,5,96500
20,RL,94,12220,1Story,10,5,402861
80,RL,NA,10448,SLvl,6,6,158000
60,RL,79,10208,2Story,7,5,265000
60,RL,NA,9531,2Story,6,5,211000
70,RL,53,10918,2Story,7,9,234000
190,RL,60,10800,2Story,4,7,106250
20,RL,90,11988,1Story,6,6,150000
50,RM,50,5000,1.5Fin,6,7,159000
60,RL,130,40094,2Story,10,5,184750
60,RL,95,11787,2Story,7,5,315750
20,FV,62,7500,1Story,7,5,176000
20,RL,70,13300,1Story,5,7,132000
60,RL,67,14948,2Story,9,5,446261
30,RL,58,9098,1Story,4,7,86000
20,RL,NA,32668,1Story,6,3,200624
80,RL,85,10200,SLvl,6,5,175000
70,RM,60,6155,2Story,6,8,128000
20,RL,60,7200,1Story,5,7,107500
20,RL,50,5000,1Story,1,3,39300
60,RL,74,9056,2Story,8,5,178000
190,RL,70,7000,2Story,5,7,107500
60,RL,57,8924,2Story,7,5,188000
20,RL,NA,12735,1Story,4,5,111250
20,RL,NA,11553,1Story,5,5,158000
20,RL,NA,11423,1Story,8,5,272000
20,RL,85,14601,1Story,9,5,315000
60,RL,NA,11000,2Story,8,5,248000
20,RL,78,10140,1Story,7,5,213250
120,RH,34,4058,SFoyer,7,5,133000
60,RL,58,17104,2Story,7,5,179665
50,RL,NA,13837,1.5Fin,7,5,229000
50,RL,70,8737,1.5Fin,6,7,210000
85,RL,54,7244,SFoyer,5,7,129500
20,RM,49,8235,1Story,5,7,125000
60,FV,75,9375,2Story,7,5,263000
120,RL,53,4043,1Story,6,6,140000
20,RM,50,6000,1Story,5,6,112500
20,RL,87,11146,1Story,8,5,255500
20,RL,67,8777,1Story,4,5,108000
60,RL,85,10625,2Story,7,5,284000
45,RM,58,6380,1.5Unf,5,6,113000
20,RL,69,14850,1Story,5,5,141000
50,C (all),60,11040,1.5Fin,4,6,108000
60,RL,57,21872,2Story,7,5,175000
120,RL,NA,3196,1Story,7,5,234000
20,RL,NA,11341,1Story,5,6,121500
20,RL,77,10010,1Story,5,5,170000
30,RL,63,13907,1Story,5,6,108000
50,RL,66,21780,1.5Fin,6,7,185000
60,RL,NA,13346,2Story,7,5,268000
70,RL,66,6858,2Story,6,4,128000
60,RL,77,11198,2Story,9,5,325000
20,RL,70,10171,1Story,7,5,214000
50,RL,79,12327,1.5Fin,8,8,316600
90,RL,NA,7032,SFoyer,5,5,135960
90,RL,74,13101,1Story,5,5,142600
20,RL,60,7332,1Story,6,6,120000
60,RL,83,13159,2Story,7,5,224500
80,RL,76,9967,SLvl,7,5,170000
80,RL,70,10500,SLvl,5,7,139000
50,RL,80,8480,1.5Fin,5,5,118500
50,RL,52,6292,1.5Fin,7,7,145000
80,RL,96,11777,SLvl,5,6,164500
160,FV,34,3604,2Story,7,5,146000
50,RM,81,12150,1.5Fin,5,5,131500
20,RL,NA,14585,1Story,6,6,181900
20,RL,98,12704,1Story,8,5,253293
90,RL,81,11841,SFoyer,6,5,118500
75,RM,75,13500,2.5Unf,10,9,325000
50,RM,51,6120,1.5Fin,4,7,133000
20,RL,88,11443,1Story,8,5,369900
30,RL,55,10267,1Story,6,7,130000
85,RL,74,8740,SFoyer,5,6,137000
20,RL,65,25095,1Story,5,8,143000
40,RM,50,9100,1Story,5,6,79500
60,RL,64,8320,2Story,7,5,185900
60,RL,97,13478,2Story,10,5,451950
20,RL,60,6600,1Story,5,8,138000
120,RM,NA,4435,1Story,6,5,140000
20,RL,88,7990,1Story,5,6,110000
20,RL,69,11302,1Story,8,5,319000
70,RM,60,3600,2Story,6,7,114504
120,RL,53,3922,1Story,7,5,194201
20,RL,80,12984,1Story,5,6,217500
160,RM,24,1950,2Story,6,6,151000
60,RL,74,10927,2Story,8,5,275000
50,RM,50,9000,1.5Fin,6,6,141000
60,RL,80,10041,2Story,8,5,220000
160,FV,30,3182,2Story,7,5,151000
20,RL,88,12803,1Story,7,5,221000
60,RL,85,13600,2Story,7,6,205000
20,RL,82,12464,1Story,5,5,152000
20,RL,78,7800,2Story,5,8,225000
70,RL,78,12168,2Story,8,6,359100
20,RL,61,7943,1Story,4,5,118500
60,RL,NA,11050,2Story,9,5,313000
80,RL,NA,10395,SLvl,6,6,148000
60,RL,NA,11885,2Story,8,5,261500
20,RL,70,8402,1Story,5,5,147000
180,RM,21,1491,SFoyer,4,6,75500
85,RL,80,8800,SFoyer,6,7,137500
60,RL,NA,7861,2Story,6,5,183200
45,RL,59,7227,1.5Unf,6,6,105500
20,RL,90,11694,1Story,9,5,314813
60,RL,85,12244,2Story,8,5,305000
30,RL,45,8248,1Story,3,3,67000
60,RL,90,10800,2Story,6,7,240000
20,RL,71,7064,1Story,5,6,135000
160,FV,NA,2117,2Story,6,5,168500
60,RL,80,10400,2Story,6,5,165150
20,RL,87,10000,1Story,6,6,160000
20,RL,NA,12342,1Story,5,5,139900
80,RL,80,9600,SLvl,6,6,153000
60,RL,70,11606,2Story,5,5,135000
80,RL,82,9020,SLvl,6,5,168500
70,RM,50,9000,2Story,5,6,124000
120,RL,34,4590,1Story,8,5,209500
20,RL,85,11900,1Story,7,5,82500
20,RL,80,9250,1Story,5,7,139400
90,RL,64,6979,SFoyer,6,5,144000
190,RH,60,10896,2.5Fin,6,7,200000
30,RM,51,6120,1Story,2,3,60000
190,RM,50,6000,1.5Fin,5,4,93000
30,RL,67,8777,1Story,5,7,85000
120,RL,53,3982,1Story,8,5,264561
120,RL,62,12677,1Story,8,5,274000
